term,definition
-ovarii,petevezeték-
a. carotis,nyaki verőér
a. femoralis,combartéria
a. iliaca externa,külső csípőverőér
a. poplitea,térdartéria
a. subclavia,kulcscsont alatti verőér
a. tibialis posterior,hátsó sípcsonti verőér
a. ulnaris,singcsonti verőere
a.c.,evés előtt
a.d.,jobb fül
a.m.,reggel
AA,abszolút ritmuszavar
"ab-, apo-","-tól, -től, el"
abacterialis,baktériummentes
abarognosis,súlyérzékelés hiánya
abasia,járási képtelenség
abdomen,has
abdomen acutum,akut has
Abdomen inis,has
Abdomin-,Has
abdominalis,hasi
abdominocentesis,hasüregcsapolás
abdominohysterectomia,méh sebészeti eltávolítása hasi metszéssel
abdominohysterotomia,méhmetszés a has megnyitásával
abdominoinguinalis,hasi-ágyéki
abdominoscopia,hasüreg tükrözéses
abdominothoracalis,hashoz és mellkashoz egyaránt tartozó
abdominouterectomia,méhkiirtás hasi metszéssel
abdominovaginalis,hashoz és hüvelyhez tartozó
abducens,"távolító, elvezető"
abductio,távolítás
abductor digiti quinti,kisujjtávolító izom
abductor pollicis brevis,rövid hüvelykujj-távolító izom
abductor pollicis longus,hosszú hüvelykujjtávolító izom
abductorok,távolító izom
aberratio,normálistól eltérő állapot
aberratio mentalis,enyhe elmezavar
aberratio sexualis,fajtalanság
abetalipoproteinaemia,béta-lipoprotein hiány
ablactatio,csecsemő elválasztása
ablatio,leoperálás
ablatio placentae,méhlepényleválás
ablatio retinae,ideghártyaleválás
ablepharia,szemhéjhiány
ablepsia,vakság
abluencium,hashajtó
abnormal protrusion of the eyeball,kidülledt szem
"abnormalis, morbidus, pathologicus",kóros
abomasum,oltógyomor
abominatio,undor
aborticidium,magzatölő
abortifaciens,vetélést okozó
abortifacientia,vetélést okozó szer
abortiva,vetélést kiváltó szerek
abortivum,vetélést kiváltó szer
abortivus,abortuszos
abortus arteficialis,mesterséges terhességmegszakítás
abortus cervicalis,vetélés a nyakcsatornába
abortus completus,befejezett vetélés
abortus complicatus,szövődményes vetélés
abortus criminalis,törvényellenes terhességmegszakítás
abortus febrilis,vetélés lázzal
abortus habitualis,szokványos vetélés
abortus imminens,hamarosan bekövetkező vetélés
abortus imperfectus,részben megtörtént vetélés
abortus incipiens,kezdődő vetélés
abortus incompletus,befejezetlen vetélés
abortus inducatus,előidézett vetélés
abortus infectiosus,vetélés fertőzéssel
abortus perfectus,befejezett vetélés
abortus spontaneus,spontán vetélés
abortus therapeuticus,az anya egészségét védő terhességmegszakítás
abrachia,karhiány
abrachiocephalia,kar- és fejhiány
abrasio,horzsolás (felületes bőrsérülés)
abrasio dentium,fogkopás
abruptio,leszakadás
abruptio placentae,méhlepény repedés
abs.,teljes
abscedens,elgennyesedő
abscessus,tályog
abscessus alveolaris,foggyökércsúcs körüli tályog
abscessus apicalis,csúcstályog
abscessus axillaris,hónalji tályog
abscessus cerebelli,kisagytályog
abscessus cerebri,agytályog
abscessus cervicis uteri,méhnyaktályog
abscessus epididymidis,mellékheretályog
abscessus frigidus,gümőkóros gennygyülem
abscessus frigidus articularis,ízületi hidegtályog
abscessus glandulae mammariae,emlőmirigytályog
abscessus glandulae salivaris,nyálmirigytályog
abscessus glandulae thyreoideae,pajzsmirigytályog
abscessus hepatis,májtályog
abscessus hypophysis,hipofízistályog
abscessus hypostaticus,vándortályog
abscessus iliopsoicus tuberculosus,csípői-ágyéki tályog
abscessus intestini,béltályog
abscessus intramammalis,emlőtályog
abscessus intraspinalis,gerincen belüli tályog
abscessus lienis,léptályog
abscessus linguae,nyelvtályog
